#  RunNo  LumiNo        EvtNo
  196453    1016    890606498
  195948      71    142225249
  195930     431    382333501
  195930     496    440549623
  196200      21     18780588
  195937     345    276261132
  196452     252    333605221
  196452     292    400121160
  196027      28     43412931
  196495     159    101010417
  195948      95    182539105
  195948     318    519492640
  195948     373    593442634
  195948     363    579618694
  195948     458    702201428
  195948     435    673787681
  195948     455    699441388
  196453     138    132657585
  195948     540    802383547
  195948     552    815660974
  196453     375    343668498
  196453     335    309318333
  195950       4      4394910
  195950     261    275484951
  195950    1161   1064548822
  195950     479    474547642
  195950     203    211541434
  195950     350    359619945
  195950     227    242104778
  195950    1013    929838815
  195950     653    619434820
  195950     790    725759220
  196250      37     69466885
  195950    1286   1174720652
  196250      42     78353918
  195970      53     29090513
  196019      54     33418990
  196200      34     31230861
  196027      44     68812598
  196027      34     54285044
  196197     344    522163662
  196047       9     15834791
  196197     328    497991950
  196197     169    232017354
  196197     513    763667621
  196197     375    569352095
  196199       3      2817368
  196199     289    336241336
  196199     395    446694222
  196199     522    570581984
  196438      91     78957086
  196452     166    184377165
  196452     198    240321803
  196202       3      5244096
  196203      27     22500824
  196218     499    741354303
  196218     172    237321255
  196218     309    466453720
  196218     282    423961451
  196218     379    571730327
  196249      77     53888551
  196218     435    653011982
  196218     511    757214378
  196218     603    875504374
  196239       5      4814950
  196239      21     21889726
  196239     149    154119908
  196452     394    559147358
  196239     393    384406133
  196239     551    518994074
  196239     622    576261685
  196239     695    634008883
  196239     783    700367954
  196239     931    833874306
  196362      87    105133036
  196249      82     64300348
  196334     111    126877625
  196250     230    393290204
  196250     239    406165475
  196250     416    656315502
  196334     238    359638825
  196250     209    359423383
  196250     312    514439650
  196250     272    455981467
  196250     426    668332376
  196334      98    102491726
  196334     227    340631566
  196349     212    312176648
  196362      54     66089335
  196363      20     22356286
  196364      43     47159492
  196364     362    364959576
  196364     198    208125547
  196364     322    327900175
  196364    1121   1034447503
  196364     715    660888907
  196364     600    569327008
  196438     389    318149407
  196438     351    289075996
  196438     422    342560365
  196438     550    444820683
  196438    1166    996452533
  196438    1206   1028752329
  196438     901    772011739
  196452     210    261688914
  196452     952   1248127802
  196452     465    663096337
