#  RunNo  LumiNo        EvtNo
  199319     610    802671612
  199336     745    654009930
  199435     399    465432096
  199409     588    711256139
  199435      93     67433306
  199409     179    244814333
  199409     322    424619486
  199608    2190   2054391683
  199409     408    523001579
  199435     117    103016631
  199409     348    454612558
  199435     106     87562950
  199435     179    190611145
  199409     657    786062773
  199409     700    834809836
  199435     415    483436682
  199435     438    509741812
  199428      85     79613677
  199571     520    539517217
  199571     204    226454307
  199428     466    567387320
  199428     536    642647482
  199428     478    579807206
  199429     126    140800236
  199435     375    437336661
  199608     789    915338096
  199435     395    461150466
  199435     510    587608102
  199435     596    678242758
  199435     869    979428877
  199435     723    823712871
  199571     522    541139306
  199435    1353   1425013824
  199435    1124   1226273908
  199435    1164   1261959379
  199436      49     36010719
  199436     527    353016341
  199569      66     82635892
  199569     276    322578218
  199574      17     12880238
  199608     125    119294807
  199608    1455   1536459546
  199608     564    662760313
  199608     783    908507679
  199608    1226   1341451390
  199608    1268   1378476030
  199608     775    899663455
  199608    1010   1140935628
  199608    1032   1162015025
  199608    1080   1207210223
  199608    1107   1232507683
  199608    1628   1671850556
  199698      83     62875313
  199699     398    471001292
  200091     543    661859455
  199699      30     41807924
  199699     554    649047998
  199699     335    403734852
  199699     485    572164810
  199699     750    851569413
  199703     381    330295254
  199703     208    187134494
  199752     167    210094692
  199752      28     35039167
  199752     130    166362045
  199752     183    229707554
  199752     160    201613047
  199752     195    244037842
  199754     158    179648620
  199754     160    180834978
  199754     883    835733567
  200519      42     64751761
  199754     986    911684544
  199754     902    850119510
  199804     258    291160448
  199804     134    119043131
  200075     159    152775131
  199804     178    182571701
  199804     219    239299730
  199804     561    642099119
  199804     270    306175160
  199804     588    676329185
  199804     526    605841517
  200229     169    183217910
  200229     107    108076086
  199812      99     72136533
  199812     161    165862734
  199812     344    410262885
  199812     395    471648438
  199812     443    527856745
  200245      56     65686964
  199812     620    718439131
  199812     715    828459758
  200491     167    184362308
  199864      64     94677620
  199834     778    577561680
  199834     523    370871962
  199832     263    323852680
  199834     806    604950141
  199834     221    166476413
  199833    1044   1127539859
  199833     719    818420303
  199833     376    438737858
  199833    1007   1095094459
  199833     645    740617395
  199833     937   1032083922
  199833     971   1062857630
  199834     377    275103397
  199834     377    274772577
  199834     380    276965979
  199864     450    567760399
  199834     754    554317402
  200519     144    216290002
  200473     147    101966407
  200473     882    936430482
  199864     117    168020251
  199864     363    474478091
  199864     298    398667809
  199864     407    522044292
  199867      98    100263145
  199867      94     95355741
  199867     182    195094203
  199875     294    380008201
  199867     318    341109049
  199875     220    277338826
  200473     682    738360785
  199876     196    232116331
  199876     292    334273442
  199877      15     16556882
  199877     552    558486561
  199877     789    754891578
  199877     833    788556064
  199877     869    815946043
  199877     417    435354671
  199877     370    390544625
  199877     437    454039948
  200525     955   1164843276
  199877     633    627792510
  199877     841    794684612
  199877     638    632598289
  199877     792    756960397
  200525     838   1034561428
  199877     783    750289073
  200042     254    213975515
  200042     215    182517706
  199960     125    111900749
  200042      67     58175870
  199961     197    208877824
  199961     225    242519186
  199967      86     63536355
  200369      10     10118930
  200369      11     10424421
  200041     183    208477139
  200041     443    554714334
  200041     425    532829394
  200041     485    603968040
  200041     640    772642290
  200042      83     71897849
  200042     130    112293845
  200042     175    149601447
  200042     172    146828695
  200042     404    329136452
  200091     493    604691229
  200049     107     69493510
  200091     428    526814296
  200091     422    520410690
  200049     115     74520926
  200075     144    128401329
  200243      78     42814268
  200091     102     67888793
  200091     333    407095080
  200091     517    631703003
  200091     534    651488458
  200091    1054   1218099201
  200091     668    796272021
  200091     707    838220015
  200091    1480   1605141983
  200091    1099   1262803505
  200525     355    474786588
  200161     104    164812353
  200525     197    238594017
  200525     528    692146464
  200186      22     32235359
  200188      17     23228913
  200188     278    360052675
  200190     123    160929445
  200190      35     46078758
  200190     310    381215523
  200190     367    446100211
  200190     527    615844036
  200190     666    752583431
  200491     305    396244579
  200229     164    177062194
  200229     321    351219330
  200229     210    230564809
  200243     102     85963069
  200243     129    133059164
  200244      84    134169210
  200244      19     32155199
  200244      43     70041362
  200244      52     85436186
  200244      52     85142747
  200244     163    249747551
  200244     181    274737678
  200244     218    326043197
  200244     405    562224507
  200244     440    603453175
  200244     466    631996423
  200369      98    114083838
  200525     264    344301261
  200473     286    287830407
  200519     171    253919175
  200473     283    284918720
  200519     217    314421294
  200519     729    901516520
  200473     752    810865810
  200473     932    982639229
  200473     947    995982454
  200491     160    173808613
  200519     234    334020417
  200519     278    389505378
  200519     465    603929741
  200525     210    258589573
  200525     812   1005388442
  200599     102     64977156
  200600     816   1034498564
  200600     986   1215058506
