#  RunNo  LumiNo        EvtNo
  190733     330    363417282
  190906     165    143350344
  191046       1       542792
  191201      63     75108673
  191201      63     75235593
  190733     197    194181020
  190906     235    231357012
  190733     143    121558976
  190733     247    259645894
  190733     283    305514893
  190733     281    303799782
  190733     316    346851975
  190733     317    347321562
  191057      17     14827674
  190738      18     13296437
  193541     152     70822298
  190733     365    405565750
  190733     361    401202340
  190733     364    404406838
  193207      67     17476408
  191046     198    266617877
  191046     198    267582642
  193541     127     50326480
  191046     157    216138541
  191046     186    252359279
  191046     191    259121266
  191046     200    269839827
  191046     200    269348268
  190733     434    485743613
  190733     448    500653739
  190733     453    506846649
  190738      12      7768395
  190738      33     28379435
  193541     296    181476842
  193541     368    232074429
  193541     385    243791912
  193541     386    244611045
  190738     255    233368493
  193541     248    145729017
  193541     253    149353469
  191062      19     18110564
  191062     298    325510880
  193541     114     40034451
  193541     532    338405915
  191062     137    153927290
  191062     148    166123614
  191062     225    249316461
  191062     253    278666915
  190738      77     70485731
  193541     367    231571243
  190738      90     82913290
  191062     167    187676509
  191062      68     76657266
  191062     101    114869229
  191062     192    214478922
  191062     239    264249755
  190738     129    120076102
  190738     210    194006346
  190738     280    255231751
  190738     324    292853253
  193541     439    279936456
  193541     370    233769500
  193541     371    234229270
  193541     470    299954485
  190738     300    272430332
  190738     332    300158390
  190738     333    300369894
  191062     457    480841377
  191062     487    508255913
  191830      64     34595648
  191830      64     35927127
  191830     152    202607402
  190738     188    174239677
  190738     217    200377264
  193541     444    283168451
  191062      12     10281971
  190738     262    240005955
  190738     274    249920886
  193541     497    317081875
  193541     530    337575079
  193541     591    374050219
  190738     257    235547381
  190738     284    258533458
  191062      37     39188685
  193541     505    321836297
  191062      34     35614321
  190738     289    262777070
  191062     387    413762703
  191062     517    535803575
  191830     184    258423377
  191062      61     68205744
  191062     290    317271307
  191062     309    336639895
  190738     306    277378595
  191830      98    101534203
  190782     209    249034996
  190782     233    282332382
  191834     135    164458579
  190782     344    430161555
  191856      75     63838977
  191834      46     53770692
  191834     109    133418930
  191856      17     11762708
  191856     105     88983553
  190782     341    427249755
  193207      83     28205436
  191834       9      6895275
  191856      94     79567120
  191837      25     22353549
  191859      49     36214672
  193207     165     80666491
  191046     136    186104829
  191277     699    613455686
  191046     175    241054321
  191277     715    625613377
  193193      39     22869081
  191046      38     45217702
  191046     233    314041184
  193193      37     21389111
  193193      38     21536158
  190906     218    210769972
  191721       5      1493292
  191721       5      1084887
  190906     170    149479991
  190906     178    159998398
  190906     220    212568274
  193541      94     29054801
  191721     135     91464643
  190906     136    105225147
  190906     311    319647887
  190906     411    428754281
  190906     411    429467380
  190906     464    485368946
  190906     336    348161249
  190906     141    111828192
  191201      58     66894729
  191201      60     70800445
  190906     150    123671150
  190906     199    187295113
  190906     296    302028028
  190906     252    251509460
  190906     255    255142254
  191046      52     63934669
  191201      68     85274331
  190906     360    373241883
  190906     373    387775077
  190906     433    452571369
  193193     153    105106759
  193193     258    175741543
  191046     119    162095522
  191046     235    316110364
  190906     427    446014637
  191721     124     84689072
  191721     128     87291282
  191277     330    320362499
  191277     418    397104468
  191277     546    495311046
  191277     624    557299641
  190945     129     44044849
  193336     684    478724114
  193575     351    272815184
  193575     366    284455780
  190945     159     84254410
  193336     536    374569723
  190945     151     73257990
  193336     376    276077424
  193336     662    460703979
  193336     663    461527037
  193336     723    509847099
  193336     177    138591511
  193575     127     86337500
  193575     332    258040198
  193575     348    270555746
  193336     508    357695490
  191277     405    385752851
  190945     196    134369425
  193336     491    347406313
  193336     502    354508523
  190949      17     15549099
  191834     119    144927376
  190949      19     17448246
  191810      91    146310057
  191834      51     60304788
  191834      81     97976840
  190949      27     28605987
  190949      47     52660697
  191264      91     73869273
  191046      12     11165902
  191277     151    152184982
  191277     139    140057463
  191046      13     12896941
  191046      49     58339426
  191277     726    633569021
  191046      30     35371822
  191277      60     59468535
  191277     120    121039893
  191277     120    121077650
  191277      97     98256949
  193193     177    120770699
  191046     222    298768334
  193193      96     64327059
  191046     140    192034963
  191277      17     13541745
  191046     225    303056386
  191721      11      5723380
  191721     144     97143734
  191721      58     40163248
  193193     181    123506957
